"Year","PaperId","Title","OriginalPath","SolutionPath","CandidateCount","Status"
"2023","2023-新高考I卷","2023 年高考数学 新高考I卷","E:\Guanghui\teaching\高考真题\2023年新课标全国I卷-数学\精品解析：2023年新课标全国Ⅰ卷数学真题（原卷版）.docx","E:\Guanghui\teaching\高考真题\2023年新课标全国I卷-数学\精品解析：2023年新课标全国Ⅰ卷数学真题（解析版）.docx","2","pending"
"2024","2024-北京卷","2024 年高考数学 北京卷","E:\Guanghui\teaching\高考真题\2024年高考-数学\精品解析：2024年新高考北京卷数学高考真题解析（参考版）\精品解析：2024年北京高考数学真题（原卷版）.docx","E:\Guanghui\teaching\高考真题\2024年高考-数学\精品解析：2024年新高考北京卷数学高考真题解析（参考版）\精品解析：2024年北京高考数学真题（解析版）.docx","2","pending"
"2024","2024-全国甲卷-理科","2024 年高考数学 全国甲卷-理科","E:\Guanghui\teaching\高考真题\2024年高考-数学\精品解析：2024年高考全国甲卷数学（理）高考真题解析（参考版）\精品解析：2024年高考全国甲卷数学(理)真题（原卷版）.docx","E:\Guanghui\teaching\高考真题\2024年高考-数学\精品解析：2024年高考全国甲卷数学（理）高考真题解析（参考版）\精品解析：2024年高考全国甲卷数学(理)真题（解析版）.docx","2","pending"
"2024","2024-全国甲卷-文科","2024 年高考数学 全国甲卷-文科","E:\Guanghui\teaching\高考真题\2024年高考-数学\精品解析：2024年高考全国甲卷数学（文）高考真题解析（参考版）\精品解析：2024年高考全国甲卷数学(文)真题（原卷版）.docx","E:\Guanghui\teaching\高考真题\2024年高考-数学\精品解析：2024年高考全国甲卷数学（文）高考真题解析（参考版）\精品解析：2024年高考全国甲卷数学(文)真题（解析版）.docx","2","pending"
"2024","2024-上海卷","2024 年高考数学 上海卷","E:\Guanghui\teaching\高考真题\2024年高考-数学\精品解析：2024年上海夏季高考数学真题（网络回忆版）\精品解析：2024年上海夏季高考数学真题（网络回忆版）（原卷版）.docx","E:\Guanghui\teaching\高考真题\2024年高考-数学\精品解析：2024年上海夏季高考数学真题（网络回忆版）\精品解析：2024年上海夏季高考数学真题（网络回忆版）（解析版）.docx","2","pending"
"2024","2024-天津卷","2024 年高考数学 天津卷","E:\Guanghui\teaching\高考真题\2024年高考-数学\精品解析：2024年新高考天津数学高考真题解析（参考版）\精品解析：2024年天津高考数学真题（原卷版）.docx","E:\Guanghui\teaching\高考真题\2024年高考-数学\精品解析：2024年新高考天津数学高考真题解析（参考版）\精品解析：2024年天津高考数学真题（解析版）.docx","2","pending"
"2024","2024-新高考II卷","2024 年高考数学 新高考II卷","E:\Guanghui\teaching\高考真题\2024年高考-数学\精品解析：2024年新课标全国Ⅱ卷数学高考真题解析（参考版）\精品解析：2024年新课标全国Ⅱ卷数学真题（原卷版）.docx","E:\Guanghui\teaching\高考真题\2024年高考-数学\精品解析：2024年新课标全国Ⅱ卷数学高考真题解析（参考版）\精品解析：2024年新课标全国Ⅱ卷数学真题（解析版）.docx","2","pending"
"2024","2024-新高考I卷","2024 年高考数学 新高考I卷","E:\Guanghui\teaching\高考真题\2024年高考-数学\精品解析：2024年新课标全国Ⅰ卷数学高考真题解析（参考版）\精品解析：2024年新课标全国Ⅰ卷数学真题（原卷版）.docx","E:\Guanghui\teaching\高考真题\2024年高考-数学\精品解析：2024年新课标全国Ⅰ卷数学高考真题解析（参考版）\精品解析：2024年新课标全国Ⅰ卷数学真题（解析版）.docx","2","pending"
"2025","2025-全国II卷","2025 年高考数学 全国II卷","E:\Guanghui\teaching\高考真题\2025年高考-数学\精品解析：2025年高考全国二卷数学高考真题解析（参考版）\精品解析：2025年高考全国二卷数学真题（原卷版）.docx","E:\Guanghui\teaching\高考真题\2025年高考-数学\精品解析：2025年高考全国二卷数学高考真题解析（参考版）\精品解析：2025年高考全国二卷数学真题（解析版）.docx","2","pending"
"2025","2025-全国I卷","2025 年高考数学 全国I卷","E:\Guanghui\teaching\高考真题\2025年高考-数学\精品解析：2025年高考全国一卷数学高考真题解析（参考版）\精品解析：2025年高考全国一卷数学真题（原卷版）.docx","E:\Guanghui\teaching\高考真题\2025年高考-数学\精品解析：2025年高考全国一卷数学高考真题解析（参考版）\精品解析：2025年高考全国一卷数学真题（解析版）.docx","2","pending"
"2025","2025-上海卷","2025 年高考数学 上海卷","E:\Guanghui\teaching\高考真题\2025年高考-数学\精品解析：2025年高考上海卷数学高考真题解析（参考版）\精品解析：2025年高考上海卷数学真题（原卷版）.docx","E:\Guanghui\teaching\高考真题\2025年高考-数学\精品解析：2025年高考上海卷数学高考真题解析（参考版）\精品解析：2025年高考上海卷数学真题（解析版）.docx","2","pending"
"2025","2025-天津卷","2025 年高考数学 天津卷","E:\Guanghui\teaching\高考真题\2025年高考-数学\精品解析：2025年高考天津卷数学高考真题解析（参考版）\精品解析：2025年高考天津卷数学真题（原卷版）.docx","E:\Guanghui\teaching\高考真题\2025年高考-数学\精品解析：2025年高考天津卷数学高考真题解析（参考版）\精品解析：2025年高考天津卷数学真题（解析版）.docx","2","pending"
