"Year","PaperId","Title","Questions","ReviewItems","PaperPages","AnswerPages","PaperTex","PaperPdf","AnswerTex","AnswerPdf","Status"
"2021","2021-全国乙卷-理科","2021 年高考数学 全国乙卷-理科","23","3","4","8","2021\2021-全国乙卷-理科\2021-全国乙卷-理科-试卷版.tex","2021\2021-全国乙卷-理科\2021-全国乙卷-理科-试卷版.pdf","2021\2021-全国乙卷-理科\2021-全国乙卷-理科-答案版.tex","2021\2021-全国乙卷-理科\2021-全国乙卷-理科-答案版.pdf","complete"
"2021","2021-全国乙卷-文科","2021 年高考数学 全国乙卷-文科","23","3","3","7","2021\2021-全国乙卷-文科\2021-全国乙卷-文科-试卷版.tex","2021\2021-全国乙卷-文科\2021-全国乙卷-文科-试卷版.pdf","2021\2021-全国乙卷-文科\2021-全国乙卷-文科-答案版.tex","2021\2021-全国乙卷-文科\2021-全国乙卷-文科-答案版.pdf","complete"
"2021","2021-上海春季卷","2021 年高考数学 上海春季卷","21","5","3","8","2021\2021-上海春季卷\2021-上海春季卷-试卷版.tex","2021\2021-上海春季卷\2021-上海春季卷-试卷版.pdf","2021\2021-上海春季卷\2021-上海春季卷-答案版.tex","2021\2021-上海春季卷\2021-上海春季卷-答案版.pdf","complete"
"2021","2021-上海卷","2021 年高考数学 上海卷","21","2","2","6","2021\2021-上海卷\2021-上海卷-试卷版.tex","2021\2021-上海卷\2021-上海卷-试卷版.pdf","2021\2021-上海卷\2021-上海卷-答案版.tex","2021\2021-上海卷\2021-上海卷-答案版.pdf","complete"
"2021","2021-天津卷","2021 年高考数学 天津卷","20","5","4","8","2021\2021-天津卷\2021-天津卷-试卷版.tex","2021\2021-天津卷\2021-天津卷-试卷版.pdf","2021\2021-天津卷\2021-天津卷-答案版.tex","2021\2021-天津卷\2021-天津卷-答案版.pdf","complete"
"2021","2021-新高考II卷","2021 年高考数学 新高考II卷","22","7","4","10","2021\2021-新高考II卷\2021-新高考II卷-试卷版.tex","2021\2021-新高考II卷\2021-新高考II卷-试卷版.pdf","2021\2021-新高考II卷\2021-新高考II卷-答案版.tex","2021\2021-新高考II卷\2021-新高考II卷-答案版.pdf","complete"
"2021","2021-新高考I卷","2021 年高考数学 新高考I卷","22","4","4","8","2021\2021-新高考I卷\2021-新高考I卷-试卷版.tex","2021\2021-新高考I卷\2021-新高考I卷-试卷版.pdf","2021\2021-新高考I卷\2021-新高考I卷-答案版.tex","2021\2021-新高考I卷\2021-新高考I卷-答案版.pdf","complete"
"2021","2021-浙江卷","2021 年高考数学 浙江卷","22","7","4","8","2021\2021-浙江卷\2021-浙江卷-试卷版.tex","2021\2021-浙江卷\2021-浙江卷-试卷版.pdf","2021\2021-浙江卷\2021-浙江卷-答案版.tex","2021\2021-浙江卷\2021-浙江卷-答案版.pdf","complete"
"2022","2022-北京卷","2022 年高考数学 北京卷","21","4","4","11","2022\2022-北京卷\2022-北京卷-试卷版.tex","2022\2022-北京卷\2022-北京卷-试卷版.pdf","2022\2022-北京卷\2022-北京卷-答案版.tex","2022\2022-北京卷\2022-北京卷-答案版.pdf","complete"
"2022","2022-全国甲卷-理科","2022 年高考数学 全国甲卷-理科","23","7","4","11","2022\2022-全国甲卷-理科\2022-全国甲卷-理科-试卷版.tex","2022\2022-全国甲卷-理科\2022-全国甲卷-理科-试卷版.pdf","2022\2022-全国甲卷-理科\2022-全国甲卷-理科-答案版.tex","2022\2022-全国甲卷-理科\2022-全国甲卷-理科-答案版.pdf","complete"
"2022","2022-全国甲卷-文科","2022 年高考数学 全国甲卷-文科","23","13","4","5","2022\2022-全国甲卷-文科\2022-全国甲卷-文科-试卷版.tex","2022\2022-全国甲卷-文科\2022-全国甲卷-文科-试卷版.pdf","2022\2022-全国甲卷-文科\2022-全国甲卷-文科-答案版.tex","2022\2022-全国甲卷-文科\2022-全国甲卷-文科-答案版.pdf","complete"
"2022","2022-全国乙卷-理科","2022 年高考数学 全国乙卷-理科","23","2","4","15","2022\2022-全国乙卷-理科\2022-全国乙卷-理科-试卷版.tex","2022\2022-全国乙卷-理科\2022-全国乙卷-理科-试卷版.pdf","2022\2022-全国乙卷-理科\2022-全国乙卷-理科-答案版.tex","2022\2022-全国乙卷-理科\2022-全国乙卷-理科-答案版.pdf","complete"
"2022","2022-全国乙卷-文科","2022 年高考数学 全国乙卷-文科","23","1","4","8","2022\2022-全国乙卷-文科\2022-全国乙卷-文科-试卷版.tex","2022\2022-全国乙卷-文科\2022-全国乙卷-文科-试卷版.pdf","2022\2022-全国乙卷-文科\2022-全国乙卷-文科-答案版.tex","2022\2022-全国乙卷-文科\2022-全国乙卷-文科-答案版.pdf","complete"
"2022","2022-上海卷","2022 年高考数学 上海卷","21","9","4","9","2022\2022-上海卷\2022-上海卷-试卷版.tex","2022\2022-上海卷\2022-上海卷-试卷版.pdf","2022\2022-上海卷\2022-上海卷-答案版.tex","2022\2022-上海卷\2022-上海卷-答案版.pdf","complete"
"2022","2022-天津卷","2022 年高考数学 天津卷","20","1","3","8","2022\2022-天津卷\2022-天津卷-试卷版.tex","2022\2022-天津卷\2022-天津卷-试卷版.pdf","2022\2022-天津卷\2022-天津卷-答案版.tex","2022\2022-天津卷\2022-天津卷-答案版.pdf","complete"
"2022","2022-新高考II卷","2022 年高考数学 新高考II卷","22","4","4","14","2022\2022-新高考II卷\2022-新高考II卷-试卷版.tex","2022\2022-新高考II卷\2022-新高考II卷-试卷版.pdf","2022\2022-新高考II卷\2022-新高考II卷-答案版.tex","2022\2022-新高考II卷\2022-新高考II卷-答案版.pdf","complete"
"2022","2022-新高考I卷","2022 年高考数学 新高考I卷","22","5","4","12","2022\2022-新高考I卷\2022-新高考I卷-试卷版.tex","2022\2022-新高考I卷\2022-新高考I卷-试卷版.pdf","2022\2022-新高考I卷\2022-新高考I卷-答案版.tex","2022\2022-新高考I卷\2022-新高考I卷-答案版.pdf","complete"
"2022","2022-浙江卷","2022 年高考数学 浙江卷","22","3","4","9","2022\2022-浙江卷\2022-浙江卷-试卷版.tex","2022\2022-浙江卷\2022-浙江卷-试卷版.pdf","2022\2022-浙江卷\2022-浙江卷-答案版.tex","2022\2022-浙江卷\2022-浙江卷-答案版.pdf","complete"
"2023","2023-北京卷","2023 年高考数学 北京卷","21","2","4","12","2023\2023-北京卷\2023-北京卷-试卷版.tex","2023\2023-北京卷\2023-北京卷-试卷版.pdf","2023\2023-北京卷\2023-北京卷-答案版.tex","2023\2023-北京卷\2023-北京卷-答案版.pdf","complete"
"2023","2023-全国甲卷-理科","2023 年高考数学 全国甲卷-理科","23","6","4","11","2023\2023-全国甲卷-理科\2023-全国甲卷-理科-试卷版.tex","2023\2023-全国甲卷-理科\2023-全国甲卷-理科-试卷版.pdf","2023\2023-全国甲卷-理科\2023-全国甲卷-理科-答案版.tex","2023\2023-全国甲卷-理科\2023-全国甲卷-理科-答案版.pdf","complete"
"2023","2023-全国甲卷-文科","2023 年高考数学 全国甲卷-文科","23","5","4","10","2023\2023-全国甲卷-文科\2023-全国甲卷-文科-试卷版.tex","2023\2023-全国甲卷-文科\2023-全国甲卷-文科-试卷版.pdf","2023\2023-全国甲卷-文科\2023-全国甲卷-文科-答案版.tex","2023\2023-全国甲卷-文科\2023-全国甲卷-文科-答案版.pdf","complete"
"2023","2023-全国乙卷-理科","2023 年高考数学 全国乙卷-理科","23","2","4","11","2023\2023-全国乙卷-理科\2023-全国乙卷-理科-试卷版.tex","2023\2023-全国乙卷-理科\2023-全国乙卷-理科-试卷版.pdf","2023\2023-全国乙卷-理科\2023-全国乙卷-理科-答案版.tex","2023\2023-全国乙卷-理科\2023-全国乙卷-理科-答案版.pdf","complete"
"2023","2023-全国乙卷-文科","2023 年高考数学 全国乙卷-文科","23","27","4","11","2023\2023-全国乙卷-文科\2023-全国乙卷-文科-试卷版.tex","2023\2023-全国乙卷-文科\2023-全国乙卷-文科-试卷版.pdf","2023\2023-全国乙卷-文科\2023-全国乙卷-文科-答案版.tex","2023\2023-全国乙卷-文科\2023-全国乙卷-文科-答案版.pdf","complete"
"2023","2023-上海卷","2023 年高考数学 上海卷","21","46","3","5","2023\2023-上海卷\2023-上海卷-试卷版.tex","2023\2023-上海卷\2023-上海卷-试卷版.pdf","2023\2023-上海卷\2023-上海卷-答案版.tex","2023\2023-上海卷\2023-上海卷-答案版.pdf","complete"
"2023","2023-天津卷","2023 年高考数学 天津卷","20","9","4","10","2023\2023-天津卷\2023-天津卷-试卷版.tex","2023\2023-天津卷\2023-天津卷-试卷版.pdf","2023\2023-天津卷\2023-天津卷-答案版.tex","2023\2023-天津卷\2023-天津卷-答案版.pdf","complete"
"2023","2023-新高考II卷","2023 年高考数学 新高考II卷","22","8","4","14","2023\2023-新高考II卷\2023-新高考II卷-试卷版.tex","2023\2023-新高考II卷\2023-新高考II卷-试卷版.pdf","2023\2023-新高考II卷\2023-新高考II卷-答案版.tex","2023\2023-新高考II卷\2023-新高考II卷-答案版.pdf","complete"
"2023","2023-新高考I卷","2023 年高考数学 新高考I卷","22","8","4","13","2023\2023-新高考I卷\2023-新高考I卷-试卷版.tex","2023\2023-新高考I卷\2023-新高考I卷-试卷版.pdf","2023\2023-新高考I卷\2023-新高考I卷-答案版.tex","2023\2023-新高考I卷\2023-新高考I卷-答案版.pdf","complete"
"2024","2024-北京卷","2024 年高考数学 北京卷","21","5","4","13","2024\2024-北京卷\2024-北京卷-试卷版.tex","2024\2024-北京卷\2024-北京卷-试卷版.pdf","2024\2024-北京卷\2024-北京卷-答案版.tex","2024\2024-北京卷\2024-北京卷-答案版.pdf","complete"
"2024","2024-全国甲卷-理科","2024 年高考数学 全国甲卷-理科","23","3","5","11","2024\2024-全国甲卷-理科\2024-全国甲卷-理科-试卷版.tex","2024\2024-全国甲卷-理科\2024-全国甲卷-理科-试卷版.pdf","2024\2024-全国甲卷-理科\2024-全国甲卷-理科-答案版.tex","2024\2024-全国甲卷-理科\2024-全国甲卷-理科-答案版.pdf","complete"
"2024","2024-全国甲卷-文科","2024 年高考数学 全国甲卷-文科","20","2","3","8","2024\2024-全国甲卷-文科\2024-全国甲卷-文科-试卷版.tex","2024\2024-全国甲卷-文科\2024-全国甲卷-文科-试卷版.pdf","2024\2024-全国甲卷-文科\2024-全国甲卷-文科-答案版.tex","2024\2024-全国甲卷-文科\2024-全国甲卷-文科-答案版.pdf","complete"
"2024","2024-上海卷","2024 年高考数学 上海卷","21","14","3","9","2024\2024-上海卷\2024-上海卷-试卷版.tex","2024\2024-上海卷\2024-上海卷-试卷版.pdf","2024\2024-上海卷\2024-上海卷-答案版.tex","2024\2024-上海卷\2024-上海卷-答案版.pdf","complete"
"2024","2024-天津卷","2024 年高考数学 天津卷","20","2","3","9","2024\2024-天津卷\2024-天津卷-试卷版.tex","2024\2024-天津卷\2024-天津卷-试卷版.pdf","2024\2024-天津卷\2024-天津卷-答案版.tex","2024\2024-天津卷\2024-天津卷-答案版.pdf","complete"
"2024","2024-新高考II卷","2024 年高考数学 新高考II卷","19","3","4","15","2024\2024-新高考II卷\2024-新高考II卷-试卷版.tex","2024\2024-新高考II卷\2024-新高考II卷-试卷版.pdf","2024\2024-新高考II卷\2024-新高考II卷-答案版.tex","2024\2024-新高考II卷\2024-新高考II卷-答案版.pdf","complete"
"2024","2024-新高考I卷","2024 年高考数学 新高考I卷","19","6","4","12","2024\2024-新高考I卷\2024-新高考I卷-试卷版.tex","2024\2024-新高考I卷\2024-新高考I卷-试卷版.pdf","2024\2024-新高考I卷\2024-新高考I卷-答案版.tex","2024\2024-新高考I卷\2024-新高考I卷-答案版.pdf","complete"
"2025","2025-全国II卷","2025 年高考数学 全国II卷","19","2","3","9","2025\2025-全国II卷\2025-全国II卷-试卷版.tex","2025\2025-全国II卷\2025-全国II卷-试卷版.pdf","2025\2025-全国II卷\2025-全国II卷-答案版.tex","2025\2025-全国II卷\2025-全国II卷-答案版.pdf","complete"
"2025","2025-全国I卷","2025 年高考数学 全国I卷","19","9","4","9","2025\2025-全国I卷\2025-全国I卷-试卷版.tex","2025\2025-全国I卷\2025-全国I卷-试卷版.pdf","2025\2025-全国I卷\2025-全国I卷-答案版.tex","2025\2025-全国I卷\2025-全国I卷-答案版.pdf","complete"
"2025","2025-上海卷","2025 年高考数学 上海卷","21","14","4","9","2025\2025-上海卷\2025-上海卷-试卷版.tex","2025\2025-上海卷\2025-上海卷-试卷版.pdf","2025\2025-上海卷\2025-上海卷-答案版.tex","2025\2025-上海卷\2025-上海卷-答案版.pdf","complete"
"2025","2025-天津卷","2025 年高考数学 天津卷","20","5","3","12","2025\2025-天津卷\2025-天津卷-试卷版.tex","2025\2025-天津卷\2025-天津卷-试卷版.pdf","2025\2025-天津卷\2025-天津卷-答案版.tex","2025\2025-天津卷\2025-天津卷-答案版.pdf","complete"
